date,item_id,category,units_sold,is_holiday
2016-01-01,STORE_01,Izakaya,10,1
2016-01-01,STORE_05,Bar/Cocktail,34,1
2016-01-01,STORE_07,Izakaya,55,1
2016-01-01,STORE_11,Bar/Cocktail,42,1
2016-01-01,STORE_13,Izakaya,64,1
2016-01-01,STORE_17,Cafe/Sweets,5,1
2016-01-01,STORE_20,Bar/Cocktail,4,1
2016-01-01,STORE_22,Izakaya,27,1
2016-01-01,STORE_24,Izakaya,33,1
2016-01-01,STORE_25,Cafe/Sweets,8,1
2016-01-01,STORE_26,Cafe/Sweets,102,1
2016-01-01,STORE_30,Dining bar,21,1
2016-01-02,STORE_02,Cafe/Sweets,9,1
2016-01-02,STORE_04,Okonomiyaki/Monja/Teppanyaki,28,1
2016-01-02,STORE_05,Bar/Cocktail,43,1
2016-01-02,STORE_06,Dining bar,2,1
2016-01-02,STORE_07,Izakaya,30,1
2016-01-02,STORE_08,Izakaya,46,1
2016-01-02,STORE_11,Bar/Cocktail,41,1
2016-01-02,STORE_12,Izakaya,24,1
2016-01-02,STORE_13,Izakaya,64,1
2016-01-02,STORE_14,Italian/French,34,1
2016-01-02,STORE_16,Italian/French,96,1
2016-01-02,STORE_17,Cafe/Sweets,27,1
2016-01-02,STORE_19,Izakaya,20,1
2016-01-02,STORE_22,Izakaya,39,1
2016-01-02,STORE_23,Bar/Cocktail,8,1
2016-01-02,STORE_26,Cafe/Sweets,85,1
2016-01-02,STORE_27,Dining bar,37,1
2016-01-02,STORE_28,Okonomiyaki/Monja/Teppanyaki,30,1
2016-01-02,STORE_30,Dining bar,37,1
2016-01-03,STORE_02,Cafe/Sweets,9,1
2016-01-03,STORE_03,Bar/Cocktail,19,1
2016-01-03,STORE_04,Okonomiyaki/Monja/Teppanyaki,38,1
2016-01-03,STORE_05,Bar/Cocktail,30,1
2016-01-03,STORE_06,Dining bar,14,1
2016-01-03,STORE_07,Izakaya,39,1
2016-01-03,STORE_08,Izakaya,48,1
2016-01-03,STORE_09,Izakaya,34,1
2016-01-03,STORE_11,Bar/Cocktail,16,1
2016-01-03,STORE_12,Izakaya,49,1
2016-01-03,STORE_13,Izakaya,57,1
2016-01-03,STORE_14,Italian/French,48,1
2016-01-03,STORE_16,Italian/French,60,1
2016-01-03,STORE_17,Cafe/Sweets,11,1
2016-01-03,STORE_19,Izakaya,24,1
2016-01-03,STORE_20,Bar/Cocktail,10,1
2016-01-03,STORE_22,Izakaya,40,1
2016-01-03,STORE_23,Bar/Cocktail,13,1
2016-01-03,STORE_25,Cafe/Sweets,9,1
2016-01-03,STORE_26,Cafe/Sweets,96,1
2016-01-03,STORE_27,Dining bar,43,1
2016-01-03,STORE_28,Okonomiyaki/Monja/Teppanyaki,29,1
2016-01-03,STORE_30,Dining bar,14,1
2016-01-04,STORE_01,Izakaya,23,0
2016-01-04,STORE_02,Cafe/Sweets,8,0
2016-01-04,STORE_03,Bar/Cocktail,13,0
2016-01-04,STORE_04,Okonomiyaki/Monja/Teppanyaki,17,0
2016-01-04,STORE_06,Dining bar,29,0
2016-01-04,STORE_07,Izakaya,28,0
2016-01-04,STORE_08,Izakaya,22,0
2016-01-04,STORE_09,Izakaya,21,0
2016-01-04,STORE_12,Izakaya,10,0
2016-01-04,STORE_13,Izakaya,31,0
2016-01-04,STORE_14,Italian/French,19,0
2016-01-04,STORE_15,Izakaya,20,0
2016-01-04,STORE_16,Italian/French,48,0
2016-01-04,STORE_17,Cafe/Sweets,15,0
2016-01-04,STORE_18,Cafe/Sweets,46,0
2016-01-04,STORE_19,Izakaya,9,0
2016-01-04,STORE_20,Bar/Cocktail,7,0
2016-01-04,STORE_21,Cafe/Sweets,30,0
2016-01-04,STORE_22,Izakaya,19,0
2016-01-04,STORE_23,Bar/Cocktail,12,0
2016-01-04,STORE_25,Cafe/Sweets,27,0
2016-01-04,STORE_26,Cafe/Sweets,84,0
2016-01-04,STORE_27,Dining bar,35,0
2016-01-04,STORE_28,Okonomiyaki/Monja/Teppanyaki,23,0
2016-01-04,STORE_29,Bar/Cocktail,17,0
2016-01-05,STORE_01,Izakaya,35,0
2016-01-05,STORE_02,Cafe/Sweets,6,0
2016-01-05,STORE_03,Bar/Cocktail,12,0
2016-01-05,STORE_04,Okonomiyaki/Monja/Teppanyaki,11,0
2016-01-05,STORE_05,Bar/Cocktail,38,0
2016-01-05,STORE_06,Dining bar,19,0
2016-01-05,STORE_07,Izakaya,19,0
2016-01-05,STORE_08,Izakaya,9,0
2016-01-05,STORE_09,Izakaya,28,0
2016-01-05,STORE_10,Japanese food,18,0
2016-01-05,STORE_12,Izakaya,2,0
2016-01-05,STORE_13,Izakaya,8,0
2016-01-05,STORE_14,Italian/French,3,0
2016-01-05,STORE_15,Izakaya,19,0
2016-01-05,STORE_16,Italian/French,56,0
2016-01-05,STORE_17,Cafe/Sweets,14,0
2016-01-05,STORE_18,Cafe/Sweets,20,0
2016-01-05,STORE_19,Izakaya,15,0
2016-01-05,STORE_20,Bar/Cocktail,10,0
2016-01-05,STORE_21,Cafe/Sweets,24,0
2016-01-05,STORE_22,Izakaya,15,0
2016-01-05,STORE_23,Bar/Cocktail,17,0
2016-01-05,STORE_25,Cafe/Sweets,25,0
2016-01-05,STORE_26,Cafe/Sweets,43,0
2016-01-05,STORE_27,Dining bar,15,0
2016-01-05,STORE_28,Okonomiyaki/Monja/Teppanyaki,4,0
2016-01-05,STORE_29,Bar/Cocktail,18,0
2016-01-06,STORE_01,Izakaya,33,0
2016-01-06,STORE_02,Cafe/Sweets,7,0
2016-01-06,STORE_03,Bar/Cocktail,15,0
2016-01-06,STORE_04,Okonomiyaki/Monja/Teppanyaki,11,0
2016-01-06,STORE_05,Bar/Cocktail,22,0
2016-01-06,STORE_06,Dining bar,12,0
2016-01-06,STORE_07,Izakaya,16,0
2016-01-06,STORE_08,Izakaya,23,0
2016-01-06,STORE_09,Izakaya,19,0
2016-01-06,STORE_10,Japanese food,21,0
2016-01-06,STORE_11,Bar/Cocktail,7,0
2016-01-06,STORE_12,Izakaya,9,0
2016-01-06,STORE_13,Izakaya,24,0
2016-01-06,STORE_14,Italian/French,7,0
2016-01-06,STORE_15,Izakaya,2,0
2016-01-06,STORE_16,Italian/French,26,0
2016-01-06,STORE_17,Cafe/Sweets,11,0
2016-01-06,STORE_18,Cafe/Sweets,19,0
